id;case_1_1;case_1_2;case_1_3;case_2_1;case_2_2;case_2_3;case_3_1;case_3_2;case_3_3;case_4_1;case_4_2;case_4_3;case_5_1;case_5_2;case_5_3;case_6_1;case_6_2;case_6_3;case_7_1;case_7_2;case_7_3;case_8_1;case_8_2;case_8_3;case_9_1;case_9_2;case_9_3;emo;rat;group;sex;age;income;isworking;edu;car;city;city_size;time_12;time_34;time_56;time_78;time_9;month;year
28;6;6;1;2;2;3;6;5;1;2;1;6;6;6;1;1;2;6;5;5;1;4;4;2;5;5;1;0;0;1;0;39;2;1;NA;NA;Белгород;392426;58106;83763;56182;78900;27093;9;2019
29;6;5;1;4;1;2;6;4;1;1;6;6;5;2;1;1;2;6;6;2;1;6;6;4;3;2;1;1;NA;3;0;25;3;1;NA;NA;Челябинск;1195446;48191;59416;61359;53304;63112;9;2019
30;6;6;1;3;3;3;6;6;1;1;1;6;6;6;1;1;1;6;6;6;1;1;1;6;6;5;1;NA;1;2;0;27;3;1;NA;NA;Санкт-Петербург;5392992;136928;37592;33534;35692;27195;9;2019
31;6;3;1;1;1;3;5;4;2;4;2;1;1;5;6;6;6;3;5;1;1;6;5;2;5;3;2;0;0;1;1;22;1;1;NA;NA;Челябинск;1195446;71765;56919;41386;40396;20829;9;2019
32;6;1;1;6;3;1;1;1;1;1;4;5;6;6;1;6;6;6;6;1;1;6;6;6;6;6;1;1;NA;3;1;31;3;1;NA;NA;Челябинск;1195446;96096;131749;177866;102187;32766;9;2019
33;5;2;2;2;1;4;5;2;1;5;5;5;5;5;3;4;5;5;5;5;3;5;5;4;2;4;2;0;0;1;1;31;4;1;NA;NA;Челябинск;1195446;51936;68896;55195;80904;88111;9;2019
34;6;6;1;1;1;1;1;1;1;6;6;6;6;6;1;1;1;6;6;1;1;1;1;6;6;6;6;1;NA;3;0;28;1;0;NA;NA;Челябинск;1195446;79873;237102;53795;44889;20126;9;2019
35;6;5;2;1;1;4;5;2;1;1;4;6;6;6;3;1;1;3;6;2;1;1;3;3;5;5;2;1;NA;3;0;39;2;1;NA;NA;Челябинск;1195446;75445;85230;177487;114220;50829;9;2019
36;6;5;4;1;1;1;6;6;6;2;2;3;6;5;5;1;1;2;6;4;4;2;3;2;6;4;4;1;NA;3;1;32;2;1;NA;NA;Челябинск;1195446;50336;103261;63430;71807;49103;9;2019
37;6;3;5;6;4;2;6;5;2;5;5;5;6;2;2;1;2;5;3;3;2;5;5;4;5;5;4;1;NA;3;0;40;2;1;NA;NA;NA;NA;61765;52127;70975;76209;77206;9;2019
38;6;3;1;2;2;6;5;2;1;5;5;5;2;2;1;1;1;2;5;2;1;2;3;2;2;2;1;NA;1;2;1;32;3;1;NA;NA;Челябинск;1195446;53792;81287;116894;59713;24208;9;2019
39;6;6;2;1;1;2;6;6;3;1;3;6;6;5;3;2;2;4;6;4;1;6;6;6;6;6;2;NA;1;2;0;28;2;1;NA;NA;Челябинск;1195446;64910;54079;111722;53758;19092;9;2019
40;6;6;1;6;5;3;5;5;1;6;6;3;4;3;3;1;2;4;2;2;2;1;1;1;5;5;4;0;0;1;0;51;1;1;NA;NA;Челябинск;1195446;71928;424565;83824;100574;41263;9;2019
41;6;6;3;3;3;3;6;5;2;3;4;4;6;4;3;2;2;4;6;5;3;3;4;4;5;4;3;NA;1;2;0;21;2;0;NA;NA;Челябинск;1195446;234565;75112;89300;48727;29906;9;2019
42;1;1;1;1;1;3;3;1;1;1;6;6;6;6;1;6;6;6;4;4;1;6;6;4;6;6;4;0;0;1;0;36;2;1;NA;NA;Челябинск;1195446;127642;75075;74200;72718;39272;9;2019
